Date,Price,Open,High,Low,Volume,Chg%
"Jan 25, 2024",1444.25,1452.5,1453.45,1442.25,8.67M,-0.80%
"Jan 24, 2024",1455.9,1380.25,1458.45,1380.25,43.00M,2.00%
"Jan 23, 2024",1427.35,1465,1474.7,1425,57.73M,-3.48%
"Jan 20, 2024",1478.85,1483.2,1495.7,1476,12.92M,0.56%
"Jan 19, 2024",1470.65,1505.95,1510.25,1468.4,54.80M,-1.04%
"Jan 18, 2024",1486.15,1494,1515,1480.05,80.54M,-3.34%
"Jan 17, 2024",1537.5,1570,1596.8,1528.4,85.07M,-8.44%
"Jan 16, 2024 ",1679.15,1673,1683.65,1658.1,12.66M,0.38%
"Jan 15, 2024",1672.8,1647.7,1680.9,1643.6,14.16M,1.93%
"Jan 12, 2024",1641.2,1652,1656,1633.6,9.89M,-0.47%
"Jan 11, 2024",1649,1660,1662.9,1643,9.16M,-0.42%
"Jan 10, 2024",1655.95,1643,1659.95,1641.4,8.06M,0.33%
"Jan 09, 2024",1650.5,1667.15,1677.8,1646.75,12.66M,-0.78%
"Jan 08, 2024",1663.45,1678.5,1682.35,1660,9.00M,-1.11%
"Jan 05, 2024",1682.2,1687.15,1704.9,1668.1,15.94M,-0.51%
"Jan 04, 2024",1690.85,1678,1694.95,1670.7,13.37M,1.07%
"Jan 03, 2024",1672.9,1702,1704.7,1668.95,14.19M,-1.54%
"Jan 02, 2024",1699.1,1698.8,1702.8,1688.7,14.62M,0.06%
"Jan 01, 2024",1698.1,1706,1709.15,1692,7.12M,-0.65%
"Dec 29, 2023",1709.25,1697,1714.9,1696,12.51M,0.23%
"Dec 28, 2023",1705.25,1709.3,1721.4,1702,22.04M,0.11%
"Dec 27, 2023",1703.3,1681.5,1706.5,1678.6,13.50M,1.24%
"Dec 26, 2023",1682.45,1673.25,1685.95,1668.55,9.02M,0.69%
"Dec 22, 2023",1670.85,1683.6,1685.9,1667.1,24.29M,-0.94%
"Dec 21, 2023",1686.7,1657,1689.75,1650.25,18.29M,1.79%
"Dec 20, 2023",1657,1658,1668.95,1644.45,17.12M,0.25%
"Dec 19, 2023",1652.9,1650,1658.65,1644.05,12.00M,-0.17%
"Dec 18, 2023",1655.7,1660.7,1664.7,1650.95,9.01M,-0.05%
"Dec 15, 2023",1656.55,1650,1668,1646.6,69.42M,0.39%
"Dec 14, 2023",1650.15,1646,1658.95,1645,17.59M,1.18%
"Dec 13, 2023",1630.9,1632.45,1636,1615.1,14.67M,-0.23%
"Dec 12, 2023",1634.6,1654.2,1656.25,1631.85,18.29M,-0.99%
"Dec 11, 2023",1651,1650.05,1663.7,1647,11.59M,-0.13%
"Dec 08, 2023",1653.2,1630.45,1655,1630.45,16.86M,1.40%
"Dec 07, 2023",1630.45,1625,1634,1616.2,10.23M,0.16%
"Dec 06, 2023",1627.8,1638.45,1638.45,1616.65,19.31M,0.25%
"Dec 05, 2023",1623.7,1636.5,1639,1616.5,26.12M,0.89%
"Dec 04, 2023",1609.4,1588,1612,1573.65,25.33M,3.47%
"Dec 01, 2023",1555.4,1557.9,1565.75,1552.1,11.08M,-0.22%
"Nov 30, 2023",1558.8,1569.15,1572.45,1542.15,34.75M,-0.02%
"Nov 29, 2023",1559.15,1533.9,1563,1533,17.02M,2.00%
"Nov 28, 2023",1528.65,1535.2,1537.25,1525.8,14.24M,-0.23%
"Nov 24, 2023",1532.1,1521.2,1533.15,1519.85,8.23M,0.71%
"Nov 23, 2023",1521.3,1508.5,1523.85,1508.5,6.52M,0.58%
"Nov 22, 2023",1512.55,1520,1520,1503.55,14.56M,-0.36%
"Nov 21, 2023",1517.95,1519,1522,1512.1,12.48M,0.85%
"Nov 20, 2023",1505.2,1513,1513,1501.55,9.67M,0.01%
"Nov 17, 2023",1505.1,1490,1507.5,1489,11.85M,-0.22%
"Nov 16, 2023",1508.35,1509.7,1519,1503.75,14.86M,0.26%
"Nov 15, 2023",1504.4,1504.1,1510.95,1500.55,20.62M,1.05%
"Nov 13, 2023",1488.8,1492.1,1495.95,1485.9,10.30M,-0.68%
"Nov 12, 2023",1499,1500,1502,1496.45,1.97M,0.50%
"Nov 10, 2023",1491.5,1480.1,1496,1480.05,7.01M,0.39%
"Nov 09, 2023",1485.65,1486,1492.6,1483.5,11.06M,-0.40%
"Nov 08, 2023",1491.55,1483.95,1493.45,1481,15.70M,0.29%
"Nov 07, 2023",1487.25,1494,1494,1477.2,20.98M,-0.49%
"Nov 06, 2023",1494.5,1498,1498,1483,12.80M,0.72%
"Nov 03, 2023",1483.75,1488,1491.4,1481.65,9.05M,0.47%
"Nov 02, 2023",1476.75,1485,1490.5,1467.15,22.61M,0.15%
"Nov 01, 2023",1474.5,1462.25,1477.45,1462.25,16.94M,-0.14%
